G_NUMBER	country	lineage	sublineage	isolation_date	new_id
G06474	Tanzania	L4	L4.3.4.2	11-06-2014	G06474/11-06-2014/1
G36197	Tanzania	L3	L3.1.1	13-06-2014	G36197/13-06-2014/1
G32154	Tanzania	L1	L1.1.2	13-06-2014	G32154/13-06-2014/1
G36170	Tanzania	L3	L3.1.1	18-06-2014	G36170/18-06-2014/1
G08225	Tanzania	L4	L4.3.4.2	18-06-2014	G08225/18-06-2014/1
G44619	Tanzania	L3	L3.1.1	20-06-2014	G44619/20-06-2014/1
G08120	Tanzania	L3	L3.1.1	20-06-2014	G08120/20-06-2014/1
G32245	Tanzania	L3	L3.1.1	25-06-2014	G32245/25-06-2014/1
G08149	Tanzania	L3	L3.1.1	25-06-2014	G08149/25-06-2014/1
G21786	Tanzania	L4		27-06-2014	G21786/27-06-2014/1
G32198	Tanzania	L3	L3.1.1	01-07-2014	G32198/01-07-2014/1
G32246	Tanzania	L4	L4.1.1.3	02-07-2014	G32246/02-07-2014/1
G32184	Tanzania	L3	L3.1.1	10-07-2014	G32184/10-07-2014/1
G36220	Tanzania	L3	L3.1.1	10-07-2014	G36220/10-07-2014/1
G32146	Tanzania	L4	L4.1.2.1	10-07-2014	G32146/10-07-2014/1
G32150	Tanzania	L3	L3.1.1	10-07-2014	G32150/10-07-2014/1
G06449	Tanzania	L3	L3	10-07-2014	G06449/10-07-2014/1
G36185	Tanzania	L3	L3.1.1	15-07-2014	G36185/15-07-2014/1
G32148	Tanzania	L4	L4.3.4.2.1	15-07-2014	G32148/15-07-2014/1
G32225	Tanzania	L3	L3.1.1	15-07-2014	G32225/15-07-2014/1
G36202	Tanzania	L4	L4.3.4.2.1	16-07-2014	G36202/16-07-2014/1
G08150	Tanzania	L4	L4.6.1.1	17-07-2014	G08150/17-07-2014/1
G36204	Tanzania	L2	L2.2.1	17-07-2014	G36204/17-07-2014/1
G32152	Tanzania	L4	L4.3.4.2.1	22-07-2014	G32152/22-07-2014/1
G36152	Tanzania	L3	L3.1.1	22-07-2014	G36152/22-07-2014/1
G32175	Tanzania	L3	L3.1.2	23-07-2014	G32175/23-07-2014/1
G06478	Tanzania	L3	L3.1.1	24-07-2014	G06478/24-07-2014/1
G36222	Tanzania	L1	L1.1.2	01-08-2014	G36222/01-08-2014/1
G21829	Tanzania	L3	L3.1.1	01-08-2014	G21829/01-08-2014/1
G21846	Tanzania	L4	L4.3.4.2.1	05-08-2014	G21846/05-08-2014/1
G06448	Tanzania	L4	L4.2.2	07-08-2014	G06448/07-08-2014/1
G06453	Tanzania	L3	L3.1.1	06-08-2014	G06453/06-08-2014/1
G08121	Tanzania	L4	L4.3.4.2	07-08-2014	G08121/07-08-2014/1
G08107	Tanzania	L3	L3.1.1	07-08-2014	G08107/07-08-2014/1
